DateTime,AddedIPs,RemovedIPs
1592036324,3,0
1592037721,10,0
1592038321,4,0
1592038922,10,0
1592040121,6,0
1592040772,839,579
1592040782,1,0
1592041921,3,0
1592042521,6,0
1592043122,4,0
1592043721,9,0
1592044321,6,0
1592044921,5,0
1592046122,4,0
1592047322,1,0
1592048521,3,0
1592049121,3,0
1592049721,2,0
1592050322,10,0
1592050921,7,0
1592051521,2,0
1592052121,6,2
1592052721,5,0
1592053321,2,0
1592054521,4,0
1592055721,4,2
1592056321,2,0
1592057521,4,0
1592058122,2,0
1592058721,4,0
1592059321,7,0
1592059922,5,0
1592060521,5,0
1592061121,6,0
1592061721,3,0
1592062921,2,0
1592064121,8,0
1592065322,6,0
1592066521,5,1
1592067121,4,0
1592067721,6,0
1592068921,5,0
1592069521,1,0
1592070121,3,0
1592070721,4,0
1592071321,1,0
1592072521,6,0
1592073122,3,0
1592073721,5,0
1592076121,1,0
1592076722,2,0
1592077321,3,0
1592078521,7,0
1592079721,6,1
1592080321,1,0
1592080921,9,1
1592082121,2,0
1592082721,3,0
1592083321,12,0
1592083921,2,0
1592084522,8,0
1592085721,6,0
1592086321,1,0
1592087582,3,0
1592088122,18,0
1592088721,5,0
1592090521,12,0
1592091121,2,0
1592091721,4,1
1592092921,1,0
1592093521,3,0
1592094122,2,0
1592095321,7,0
1592095921,6,0
1592096521,1,0
1592097121,2,0
1592097722,2,0
1592098321,1,0
1592098921,8,0
1592100121,11,0
1592101321,4,0
1592101981,0,1
1592102522,10,0
1592103721,9,0
1592104921,2,0
1592105521,4,0
1592106121,2,0
1592107321,11,0
1592108521,1,0
1592109721,2,0
1592110321,6,0
1592110921,1,0
1592112121,2,0
1592112782,2,0
1592114522,1,0
1592115122,1,0
1592115721,5,0
1592116921,6,0
1592118122,2,0
1592118967,3,0
1592119981,1,1
1592120521,3,0
1592121721,4,0
1592122922,7,0
1592124121,1,0
1592124722,1,0
1592125922,11,0
1592127882,1091,1048
1592128321,1,0
1592128921,3,0
1592130121,7,0
1592131921,2,0
1592132521,3,0
1592133121,1,0
1592133721,6,0
1592134922,12,0
1592136121,9,0
1592136721,1,0
1592137321,4,0
1592137921,5,0
1592138521,1,0
1592139721,19,0
1592140321,8,0
1592140922,1,0
1592142121,1,0
1592142721,3,0
1592143921,3,0
1592145721,2,0
1592146321,1,0
1592146921,1,0
1592147521,4,0
1592148121,9,0
1592149322,3,0
1592149922,3,0
1592150521,8,0
1592151121,4,0
1592151721,4,0
1592152921,3,0
1592153521,2,1
1592154121,3,0
1592155321,3,0
1592155921,1,0
1592155981,2,0
1592156521,4,0
1592157721,2,0
1592158321,5,0
1592158922,4,0
1592159521,5,1
1592159582,0,1
1592160121,7,0
1592161322,7,0
1592162521,3,0
1592164921,16,0
1592165522,7,0
1592166121,5,0
1592167321,4,0
1592168521,4,0
1592169721,8,0
1592170921,5,1
1592172121,10,0
1592173321,9,0
1592174521,7,0
1592175721,1,0
1592178121,6,0
1592180521,4,0
1592181121,3,0
1592181721,4,0
1592182921,5,0
1592183521,1,0
1592184121,1,0
